"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEMA3F.2",8.15500498216137e-05,-1.23219217465029,0.03,0.109,1,"5","SEMA3F"
"SNHG5.2",8.28664507037384e-05,-7.50316238653266,0,0.056,1,"5","SNHG5"
"RBFOX2",8.57099065725583e-05,-0.402837411883187,0.205,0.359,1,"5","RBFOX2"
"OGA.1",8.75586640274214e-05,-0.447611854465136,0.125,0.25,1,"5","OGA"
"LY86-AS1",8.86147713834709e-05,2.34147513556691,0.034,0.009,1,"5","LY86-AS1"
"KTN1.1",8.94772461450485e-05,-0.500005660855195,0.114,0.233,1,"5","KTN1"
"SOX5.5",9.04048968010843e-05,-1.45053703913734,0.038,0.118,1,"5","SOX5"
"JUND.4",9.0647178032983e-05,-2.00775061309549,0.019,0.088,1,"5","JUND"
"STAT3.1",9.10575130702597e-05,-0.526161737455009,0.178,0.316,1,"5","STAT3"
"BMX.3",9.35100216875486e-05,-3.30582167230047,0.004,0.062,1,"5","BMX"
"SLC22A24.1",9.40107023066457e-05,2.01482553287597,0.045,0.015,1,"5","SLC22A24"
"PLEKHG2.2",9.53862208934844e-05,-2.24300588723583,0.015,0.082,1,"5","PLEKHG2"
"TNFSF10.1",9.73706813852581e-05,1.30244627567909,0.17,0.105,1,"5","TNFSF10"
"CAST",9.7900858009268e-05,-0.444233611469961,0.098,0.212,1,"5","CAST"
"DENND4A.1",9.89101331980562e-05,-0.493779992307355,0.167,0.303,1,"5","DENND4A"
"CELF2.2",9.93818125889166e-05,-7.49276658538918,0,0.054,1,"5","CELF2"
"SLMAP.1",0.0001007324071027,-0.776128249414914,0.072,0.17,1,"5","SLMAP"
"AC021733.4",0.000101740951119345,2.84083348601591,0.019,0.003,1,"5","AC021733.4"
"ACVR1.2",0.000102436156216224,-7.47761062845651,0,0.054,1,"5","ACVR1"
"RAP1A",0.00010315174791757,-0.671387339374299,0.08,0.182,1,"5","RAP1A"
"EMP2.3",0.000103530504222543,-0.770922353479749,0.057,0.148,1,"5","EMP2"
"TMTC2.3",0.000103952734665301,-0.756182014016296,0.083,0.185,1,"5","TMTC2"
"RFX2.2",0.000108144401828994,-1.66528401011237,0.023,0.094,1,"5","RFX2"
"ZNF83",0.000108174417643124,-0.814320494895669,0.072,0.168,1,"5","ZNF83"
"PALLD.3",0.000110208226650737,-2.42095720467078,0.008,0.068,1,"5","PALLD"
"SDCBP.3",0.000111507499974221,-2.24028945203291,0.011,0.075,1,"5","SDCBP"
"CASD1.1",0.00011153773809726,-2.48386411745701,0.008,0.068,1,"5","CASD1"
"C1orf21.2",0.000111742284148962,-0.964978877244683,0.053,0.141,1,"5","C1orf21"
"DIAPH1.1",0.000111976955072535,-0.714674484963578,0.08,0.18,1,"5","DIAPH1"
"SMUG1.1",0.000113958821007797,3.36808101379405,0.023,0.005,1,"5","SMUG1"
"CMSS1.3",0.000114229145714871,-0.890966857382907,0.057,0.146,1,"5","CMSS1"
"ZDHHC21.2",0.000114293727486142,-1.12865606988749,0.03,0.107,1,"5","ZDHHC21"
"C1QTNF1-AS1.1",0.000115287224595638,2.96091241102162,0.023,0.005,1,"5","C1QTNF1-AS1"
"PSD3.4",0.0001164385426088,-2.34069490948124,0.008,0.068,1,"5","PSD3"
"PPP1R12B.1",0.000116688708205974,-0.941617865483922,0.042,0.124,1,"5","PPP1R12B"
"DSTN.2",0.000118714064359825,-2.7706435372909,0.008,0.068,1,"5","DSTN"
"TPT1.3",0.000119165447204106,-7.42565068497905,0,0.053,1,"5","TPT1"
"IVNS1ABP.2",0.000121933921297988,-2.12734435953183,0.019,0.086,1,"5","IVNS1ABP"
"MCAM.2",0.000122714335294377,-1.48924744365155,0.03,0.105,1,"5","MCAM"
"MAT2A",0.000127155269252332,-3.73244580162581,0.004,0.06,1,"5","MAT2A"
"NAP1L1.1",0.000130055789542947,-0.712220674386605,0.076,0.173,1,"5","NAP1L1"
"SEMA6A-AS1.1",0.000131751370246457,1.12986731011816,0.189,0.122,1,"5","SEMA6A-AS1"
"PIK3C2B.2",0.000131816798583798,-0.671965618946527,0.087,0.189,1,"5","PIK3C2B"
